번호,신고일,구정보,주소,유형,조치일,,,,,,,,,,,,,,,,,
82,2025.5.1,강서구,서울특별시 강서구 가양동 422-99,버스정류소 및 택시승강장 주변(5m 이내),2025.5.1,,,,,,,,,,,,,,,,,
83,2025.5.1,송파구,서울특별시 송파구 거여동 649,자전거 도로,2025.5.1,,,,,,,,,,,,,,,,,
84,2025.5.1,송파구,서울특별시 송파구 거여동 657-11,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
85,2025.5.1,송파구,서울특별시 송파구 거여동 651,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
86,2025.5.1,강서구,서울특별시 강서구 마곡동 784,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
87,2025.5.1,서초구,서울특별시 서초구 서초동 1377,보도와 차도가 구분된 도로의 차도,2025.5.2,,,,,,,,,,,,,,,,,
88,2025.5.1,서대문구,서울특별시 서대문구 남가좌동 190-154,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
89,2025.5.1,은평구,서울특별시 은평구 수색동 8-14,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
90,2025.5.1,관악구,서울특별시 관악구 봉천동 62-17,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
91,2025.5.1,서초구,서울특별시 서초구 서초동 1377,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
92,2025.5.1,서대문구,서울특별시 서대문구 남가좌동 389,자전거 도로,2025.5.1,,,,,,,,,,,,,,,,,
93,2025.5.1,송파구,서울특별시 송파구 거여동 산40-1,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
94,2025.5.1,서대문구,서울특별시 서대문구 남가좌동 390-4,자전거 도로,2025.5.1,,,,,,,,,,,,,,,,,
95,2025.5.1,서초구,서울특별시 서초구 서초동 1320-10,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
96,2025.5.1,관악구,서울특별시 관악구 봉천동 33-2,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
97,2025.5.1,송파구,서울특별시 송파구 거여동 657-10,자전거 도로,2025.5.1,,,,,,,,,,,,,,,,,
98,2025.5.1,서대문구,서울특별시 서대문구 남가좌동 390-4,자전거 도로,2025.5.1,,,,,,,,,,,,,,,,,
99,2025.5.1,서초구,서울특별시 서초구 서초동 1396,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
100,2025.5.1,강서구,서울특별시 강서구 마곡동 791-11,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
101,2025.5.1,관악구,서울특별시 관악구 신림동 808-169,버스정류소 및 택시승강장 주변(5m 이내),2025.5.1,,,,,,,,,,,,,,,,,
102,2025.5.1,서대문구,서울특별시 서대문구 연희동 703,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
103,2025.5.1,관악구,서울특별시 관악구 신림동 808-159,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
104,2025.5.1,관악구,서울특별시 관악구 봉천동 1693-54,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
105,2025.5.1,동작구,서울특별시 동작구 사당동 708-1134,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
106,2025.5.1,동작구,서울특별시 동작구 사당동 708-1134,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
107,2025.5.1,관악구,서울특별시 관악구 신림동 808-161,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
108,2025.5.1,강서구,서울특별시 강서구 등촌동 709-9,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
109,2025.5.1,용산구,서울특별시 용산구 도원동 25,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
110,2025.5.1,강서구,서울특별시 강서구 등촌동 709-1,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
111,2025.5.1,관악구,서울특별시 관악구 신림동 1735-16,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
