grid_id,grid_x,grid_y,center_x_m,center_y_m
4727_9733,4727,9733,945500.0,1946700.0
4727_9734,4727,9734,945500.0,1946900.0
4727_9736,4727,9736,945500.0,1947300.0
4727_9744,4727,9744,945500.0,1948900.0
4727_9745,4727,9745,945500.0,1949100.0
4727_9746,4727,9746,945500.0,1949300.0
4727_9766,4727,9766,945500.0,1953300.0
4728_9709,4728,9709,945700.0,1941900.0
4728_9710,4728,9710,945700.0,1942100.0
4728_9711,4728,9711,945700.0,1942300.0
4728_9719,4728,9719,945700.0,1943900.0
4728_9723,4728,9723,945700.0,1944700.0
4728_9725,4728,9725,945700.0,1945100.0
4728_9729,4728,9729,945700.0,1945900.0
4728_9732,4728,9732,945700.0,1946500.0
4728_9733,4728,9733,945700.0,1946700.0
4728_9734,4728,9734,945700.0,1946900.0
4728_9735,4728,9735,945700.0,1947100.0
4728_9736,4728,9736,945700.0,1947300.0
4728_9737,4728,9737,945700.0,1947500.0
4728_9744,4728,9744,945700.0,1948900.0
4728_9767,4728,9767,945700.0,1953500.0
4728_9768,4728,9768,945700.0,1953700.0
4728_9769,4728,9769,945700.0,1953900.0
4729_9704,4729,9704,945900.0,1940900.0
4729_9705,4729,9705,945900.0,1941100.0
4729_9709,4729,9709,945900.0,1941900.0
4729_9715,4729,9715,945900.0,1943100.0
4729_9716,4729,9716,945900.0,1943300.0
4729_9717,4729,9717,945900.0,1943500.0
4729_9720,4729,9720,945900.0,1944100.0
4729_9721,4729,9721,945900.0,1944300.0
4729_9724,4729,9724,945900.0,1944900.0
4729_9726,4729,9726,945900.0,1945300.0
4729_9732,4729,9732,945900.0,1946500.0
4729_9733,4729,9733,945900.0,1946700.0
4729_9734,4729,9734,945900.0,1946900.0
4729_9735,4729,9735,945900.0,1947100.0
4729_9737,4729,9737,945900.0,1947500.0
4729_9766,4729,9766,945900.0,1953300.0
4729_9767,4729,9767,945900.0,1953500.0
4730_9703,4730,9703,946100.0,1940700.0
4730_9704,4730,9704,946100.0,1940900.0
4730_9705,4730,9705,946100.0,1941100.0
4730_9709,4730,9709,946100.0,1941900.0
4730_9711,4730,9711,946100.0,1942300.0
4730_9714,4730,9714,946100.0,1942900.0
4730_9717,4730,9717,946100.0,1943500.0
4730_9720,4730,9720,946100.0,1944100.0
4730_9721,4730,9721,946100.0,1944300.0
4730_9722,4730,9722,946100.0,1944500.0
4730_9725,4730,9725,946100.0,1945100.0
4730_9730,4730,9730,946100.0,1946100.0
4730_9732,4730,9732,946100.0,1946500.0
4730_9735,4730,9735,946100.0,1947100.0
4730_9736,4730,9736,946100.0,1947300.0
4730_9763,4730,9763,946100.0,1952700.0
4730_9765,4730,9765,946100.0,1953100.0
4731_9702,4731,9702,946300.0,1940500.0
4731_9703,4731,9703,946300.0,1940700.0
4731_9704,4731,9704,946300.0,1940900.0
4731_9708,4731,9708,946300.0,1941700.0
4731_9710,4731,9710,946300.0,1942100.0
4731_9712,4731,9712,946300.0,1942500.0
4731_9713,4731,9713,946300.0,1942700.0
4731_9714,4731,9714,946300.0,1942900.0
4731_9715,4731,9715,946300.0,1943100.0
4731_9720,4731,9720,946300.0,1944100.0
4731_9722,4731,9722,946300.0,1944500.0
4731_9725,4731,9725,946300.0,1945100.0
4731_9728,4731,9728,946300.0,1945700.0
4731_9731,4731,9731,946300.0,1946300.0
4731_9733,4731,9733,946300.0,1946700.0
4731_9743,4731,9743,946300.0,1948700.0
4731_9766,4731,9766,946300.0,1953300.0
4731_9768,4731,9768,946300.0,1953700.0
4732_9698,4732,9698,946500.0,1939700.0
4732_9699,4732,9699,946500.0,1939900.0
4732_9700,4732,9700,946500.0,1940100.0
4732_9706,4732,9706,946500.0,1941300.0
4732_9707,4732,9707,946500.0,1941500.0
4732_9713,4732,9713,946500.0,1942700.0
4732_9714,4732,9714,946500.0,1942900.0
4732_9715,4732,9715,946500.0,1943100.0
