주소_clean,roadAddr,lat,lon
서울특별시 관악구 신림동 107-135,,37.4722878,126.935508
서울특별시 금천구 독산동 892,"서울특별시 금천구 독산로102길 80 (독산동, 쌍용프라임빌)",37.4761358,126.9079328
서울특별시 서대문구 창천동 31-62,서울특별시 서대문구 명물길 35-2 (창천동),37.5578328,126.9377911
서울특별시 강서구 마곡동 789-10,,37.5609908,126.8362603
서울특별시 동작구 동작동 331,"서울특별시 동작구 동작대로39가길 55 (동작동, 동작동금강KCC아파트)",37.4940715,126.9783882
서울특별시 양천구 목동 902,"서울특별시 양천구 목동서로 70 (목동, 목동신시가지아파트2단지)",37.5396137,126.8795362
서울특별시 관악구 봉천동 1712-10,,37.491801,126.9497919
서울특별시 동작구 흑석동 341,"서울특별시 동작구 현충로 52 (흑석동, 아크로리버하임)",37.5102388,126.960608
서울특별시 관악구 봉천동 480-123,,37.4889824,126.9487903
서울특별시 양천구 목동 929,"서울특별시 양천구 목동서로2길 22 (목동, 한신청구아파트)",37.5413094,126.8823554
서울특별시 강서구 가양동 150-34,,37.5686196,126.841487
서울특별시 서초구 서초동 1338-28,,37.4908316,127.0299532
서울특별시 관악구 봉천동 1718-11,,37.4906783,126.9448459
서울특별시 강동구 고덕동 353-14,서울특별시 강동구 고덕비즈밸리로 51 (고덕동),37.5651941,127.1655383
서울특별시 동작구 노량진동 332,"서울특별시 동작구 장승배기로16길 134 (노량진동, 쌍용예가아파트)",37.5099684,126.9435454
서울특별시 송파구 석촌동 303,,37.5025763,127.099186
서울특별시 강동구 성내동 450-13,,37.524383,127.130918
서울특별시 강서구 등촌동 705-6,"서울특별시 강서구 공항대로43길 39 (등촌동, 등촌주공아파트11단지)",37.558839,126.849205
서울특별시 동작구 대방동 49-6,서울특별시 동작구 노량진로 74 (대방동),37.5127025,126.9331254
서울특별시 강서구 등촌동 709-7,,37.5623787,126.8433555
서울특별시 송파구 가락동 75-17,서울특별시 송파구 송이로20길 8 (가락동),37.4962427,127.1205913
서울특별시 강서구 등촌동 691-2,서울특별시 강서구 공항대로39길 115 (등촌동),37.5628062,126.8448187
서울특별시 동작구 신대방동 395-61,서울특별시 동작구 보라매로5길 지하24 (신대방동),37.4921203,126.9222801
서울특별시 송파구 송파동 178-2,,37.501653,127.1158319
서울특별시 강동구 성내동 447-11,서울특별시 강동구 성안로 13 (성내동),37.5252391,127.1292158
서울특별시 관악구 봉천동 100-27,,37.4822961,126.9591384
서울특별시 서초구 양재동 300-12,서울특별시 서초구 언남16길 35 (양재동),37.4735888,127.0464248
서울특별시 서초구 양재동 298-15,,37.4732728,127.0459693
서울특별시 강서구 염창동 284-76,,37.548205,126.8749502
서울특별시 강서구 염창동 281-3,서울특별시 강서구 공항대로75길 27 (염창동),37.5482725,126.8743784
서울특별시 강서구 등촌동 666-11,,37.5586382,126.857211
서울특별시 관악구 봉천동 1693-13,,37.4791589,126.9418081
서울특별시 서초구 양재동 310-1,서울특별시 서초구 동산로13길 51-2 (양재동),37.4737161,127.0435427
서울특별시 강서구 등촌동 666-15,,37.5582662,126.859472
서울특별시 강서구 등촌동 630-6,서울특별시 강서구 양천로60길 19 (등촌동),37.5577137,126.8592281
서울특별시 송파구 가락동 99-10,,37.49400139999999,127.1194539
서울특별시 관악구 신림동 494,서울특별시 관악구 관천로15길 88 (신림동),37.4861636,126.9176205
서울특별시 강서구 화곡동 1109-1,,37.5544734,126.8528572
서울특별시 관악구 신림동 94-33,,37.477141,126.9376193
서울특별시 강서구 화곡동 1159,"서울특별시 강서구 강서로 254 (화곡동, 우장산아이파크이편한세상)",37.5499888,126.8380625
서울특별시 강서구 화곡동 1159-1,"서울특별시 강서구 강서로 254 (화곡동, 우장산아이파크이편한세상)",37.5499888,126.8380625
서울특별시 서대문구 연희동 701,,37.5740768,126.9276242
서울특별시 송파구 방이동 162,"서울특별시 송파구 가락로40길 11 (방이동, 크로바빌)",37.4814065,126.9878876
서울특별시 관악구 신림동 1676-10,,37.4818421,126.9011903
서울특별시 강서구 화곡동 1159-7,,37.5480542,126.8390955
서울특별시 서대문구 연희동 78-31,,37.5729066,126.9354329
서울특별시 강서구 화곡동 77-10,,37.5487985,126.8426449
서울특별시 강동구 성내동 575,,37.5284381,127.1284729
서울특별시 강서구 화곡동 1159-5,,37.55076620000001,126.837894
서울특별시 송파구 문정동 90-1,,37.4843459,127.1262823
서울특별시 송파구 문정동 90-2,,37.484122,127.1272884
서울특별시 송파구 문정동 38-3,서울특별시 송파구 문정로 지하12 (문정동),37.4935108,127.1342223
서울특별시 송파구 송파동 61,,37.5103552,127.1061505
서울특별시 은평구 응암동 403-46,,37.591932,126.9210896
서울특별시 서초구 서초동 1376-7,,37.4834305,127.0331685
서울특별시 서초구 서초동 1376-6,,37.483064,127.0315525
서울특별시 서초구 서초동 1376-4,서울특별시 서초구 남부순환로346길 9 (서초동),37.4828938,127.0327448
서울특별시 서초구 서초동 1376-3,서울특별시 서초구 남부순환로 2584 (서초동),37.48374260000001,127.0325868
서울특별시 은평구 응암동 124-51,,37.5940542,126.9169163
서울특별시 송파구 방이동 45,서울특별시 송파구 위례성대로 14 (방이동),37.5165622,127.1139344
서울특별시 은평구 응암동 126-5,"서울특별시 은평구 응암로21가길 9-11 (응암동, 임창폴라리스)",37.5946936,126.916321
서울특별시 송파구 가락동 99-7,서울특별시 송파구 중대로 105 (가락동),37.4935747,127.12002
서울특별시 송파구 방이동 52,서울특별시 송파구 백제고분로 481 (방이동),37.5137524,127.1137685
서울특별시 송파구 가락동 67,,37.4967247,127.120165
서울특별시 송파구 가락동 69,,37.4952094,127.1197499
서울특별시 송파구 방이동 94,서울특별시 송파구 위례성대로 4-2 (방이동),37.5168224,127.1139275
서울특별시 송파구 방이동 96-5,,37.5136859,127.1085936
서울특별시 서초구 서초동 1407,,37.4871249,127.0272616
서울특별시 송파구 송파동 62,,37.5115943,127.1079397
서울특별시 송파구 문정동 619-1,,37.4800095,127.1206538
서울특별시 서대문구 홍은동 202-5,"서울특별시 서대문구 연희로 377 (홍은동, 현대아파트)",37.5901113,126.9377353
서울특별시 서초구 양재동 97-11,,37.4764798,127.0396649
서울특별시 서초구 양재동 99-5,서울특별시 서초구 양재천로 144 (양재동),37.4772931,127.0409768
서울특별시 서초구 양재동 261-23,,37.4766235,127.0415081
서울특별시 서초구 양재동 310-17,,37.4719641,127.0389807
서울특별시 서초구 양재동 313-12,서울특별시 서초구 강남대로18길 16-1 (양재동),37.4804293,127.0387816
서울특별시 서초구 양재동 316-1,서울특별시 서초구 마방로2길 68 (양재동),37.4705878,127.0393091
서울특별시 서초구 양재동 369-3,"서울특별시 서초구 강남대로8길 86 (양재동, 홍익빌라)",37.4736307,127.0452434
서울특별시 서초구 양재동 330-12,,37.4699864,127.0441058
서울특별시 서초구 양재동 390-1,,37.4704767,127.0448489
서울특별시 은평구 증산동 199-10,,37.5814263,126.906998
서울특별시 영등포구 문래동2가 37-1,서울특별시 영등포구 경인로77길 9 (문래동2가),37.5125128,126.8928194
서울특별시 영등포구 문래동2가 35,서울특별시 영등포구 경인로77길 19 (문래동2가),37.5131016,126.8944122
서울특별시 서초구 양재동 241,서울특별시 서초구 강남대로 52-2 (양재동),37.4712812,127.0389936
서울특별시 서초구 양재동 237,,37.4725455,127.0382401
서울특별시 영등포구 도림동 117-28,,37.5096424,126.9048354
서울특별시 서초구 양재동 241-11,,37.4727763,127.038984
서울특별시 서초구 양재동 241-12,서울특별시 서초구 강남대로 52-2 (양재동),37.4712812,127.0389936
서울특별시 서초구 양재동 316-10,,37.4696609,127.0395758
서울특별시 영등포구 영등포동 618-497,서울특별시 영등포구 영신로19길 2-2 (영등포동),37.5145404,126.9067348
서울특별시 영등포구 문래동2가 38-1,,37.51292249999999,126.8925068
서울특별시 영등포구 양평동2가 37-4,,37.5235061,126.883993
서울특별시 영등포구 양평동2가 20-1,,37.52313609999999,126.8833784
서울특별시 영등포구 당산동3가 11-1,,37.52390279999999,126.8990162
서울특별시 마포구 상수동 139-1,,37.5478872,126.9250589
서울특별시 영등포구 문래동6가 57,"서울특별시 영등포구 선유로9길 30 (문래동6가, 문래 롯데캐슬)",37.5180942,126.8854387
서울특별시 동작구 사당동 1152-6,,37.4864452,126.9619618
서울특별시 영등포구 문래동3가 68-1,서울특별시 영등포구 당산로 지하28 (문래동3가),37.518811,126.8996216
서울특별시 영등포구 문래동4가 21-23,,37.5142256,126.8923069
서울특별시 동작구 대방동 117-4,서울특별시 동작구 노량진로 9 (대방동),37.5127402,126.9266672
서울특별시 은평구 응암동 114-6,,37.5982118,126.917091
서울특별시 강남구 대치동 1012-82,,37.4998688,127.0639552
서울특별시 금천구 시흥동 939-3,서울특별시 금천구 시흥대로 120 (시흥동),37.4447435,126.9042319
서울특별시 서초구 서초동 1363-26,,37.4857281,127.0323104
서울특별시 동작구 흑석동 42-1,서울특별시 동작구 현충로 124 (흑석동),37.50645859999999,126.967087
서울특별시 서초구 서초동 1375,서울특별시 서초구 강남대로 275-2 (서초동),37.486868,127.032743
서울특별시 서초구 서초동 1378,서울특별시 서초구 강남대로 293-2 (서초동),37.4884845,127.0281266
서울특별시 강남구 역삼동 806,서울특별시 강남구 논현로 319-2 (역삼동),37.49417529999999,127.0400483
서울특별시 서초구 서초동 1403,,37.4879907,127.0304
서울특별시 금천구 시흥동 990-58,,37.449742,126.8997242
서울특별시 강남구 역삼동 803-24,,37.4949015,127.0359776
서울특별시 강남구 역삼동 832-1,서울특별시 강남구 강남대로 334 (역삼동),37.5000776,127.0385419
서울특별시 서초구 서초동 1409,,37.4862156,127.0263395
서울특별시 서초구 서초동 1346,서울특별시 서초구 효령로72길 2 (서초동),37.4867899,127.025676
서울특별시 강남구 역삼동 837-36,서울특별시 강남구 강남대로 308 (역삼동),37.5000776,127.0385419
서울특별시 강남구 역삼동 858-18,,37.4915908,127.0327031
서울특별시 서초구 서초동 1344-13,"서울특별시 서초구 효령로72길 57 (서초동, 서초트라팰리스)",37.4868232,127.0283558
서울특별시 서초구 서초동 1344-12,서울특별시 서초구 서운로 39 (서초동),37.487387,127.0284522
서울특별시 강남구 역삼동 837-22,서울특별시 강남구 강남대로62길 13 (역삼동),37.4905907,127.0326231
서울특별시 서초구 서초동 1355-17,서울특별시 서초구 서운로 11 (서초동),37.4849859,127.0291844
서울특별시 서초구 서초동 1365-23,서울특별시 서초구 남부순환로 2557 (서초동),37.4843534,127.0300906
서울특별시 서초구 서초동 1376,서울특별시 서초구 강남대로 231-2 (서초동),37.4841851,127.0338013
서울특별시 강남구 삼성동 172-42,,37.5114796,127.0658921
서울특별시 강남구 역삼동 858-15,서울특별시 강남구 도곡로 137-2 (역삼동),37.4923623,127.0342179
서울특별시 서초구 서초동 1376-2,서울특별시 서초구 남부순환로 2572 (서초동),37.4833829,127.0306544
서울특별시 강남구 삼성동 172-24,,37.5128315,127.0656359
