month,grid_id,count
12,4755_9755,4
12,4756_9705,4
12,4757_9727,4
12,4758_9724,4
12,4760_9713,4
12,4761_9723,4
12,4762_9727,4
12,4764_9726,4
12,4766_9714,4
12,4768_9719,4
12,4770_9715,4
12,4789_9719,4
12,4790_9720,4
12,4790_9722,4
12,4791_9718,4
12,4791_9720,4
12,4792_9735,4
12,4794_9702,4
12,4794_9709,4
12,4794_9711,4
12,4794_9737,4
12,4796_9724,4
12,4797_9708,4
12,4797_9712,4
12,4797_9735,4
12,4799_9714,4
12,4799_9809,4
12,4800_9717,4
12,4800_9814,4
12,4803_9729,4
12,4808_9813,4
12,4812_9721,4
12,4812_9729,4
12,4812_9793,4
12,4813_9805,4
12,4829_9713,4
12,4829_9725,4
12,4830_9739,4
12,4831_9740,4
12,4832_9719,4
12,4835_9738,4
12,4836_9737,4
12,4837_9728,4
12,4838_9727,4
12,4843_9721,4
12,4848_9759,4
12,4699_9754,3
12,4701_9745,3
12,4703_9762,3
12,4704_9759,3
12,4707_9759,3
12,4707_9763,3
12,4708_9758,3
12,4708_9760,3
12,4709_9754,3
12,4709_9756,3
12,4709_9758,3
12,4709_9761,3
12,4710_9741,3
12,4710_9758,3
12,4711_9759,3
12,4712_9746,3
12,4712_9760,3
12,4713_9753,3
12,4713_9754,3
12,4713_9761,3
12,4714_9752,3
12,4714_9758,3
12,4717_9753,3
12,4717_9757,3
12,4719_9741,3
12,4719_9746,3
12,4721_9751,3
12,4722_9738,3
12,4722_9741,3
12,4723_9752,3
12,4724_9736,3
12,4725_9740,3
12,4727_9718,3
12,4727_9721,3
12,4728_9725,3
12,4729_9717,3
12,4729_9732,3
12,4730_9703,3
12,4730_9705,3
12,4730_9720,3
12,4731_9715,3
12,4732_9700,3
12,4732_9715,3
12,4732_9727,3
12,4732_9744,3
12,4733_9728,3
12,4734_9729,3
12,4735_9722,3
12,4736_9714,3
12,4737_9757,3
12,4738_9776,3
12,4739_9713,3
12,4739_9755,3
12,4739_9764,3
12,4740_9713,3
12,4740_9750,3
12,4740_9770,3
12,4740_9773,3
12,4741_9714,3
12,4741_9715,3
12,4741_9764,3
12,4742_9713,3
12,4742_9715,3
12,4742_9755,3
12,4742_9790,3
12,4742_9791,3
12,4743_9776,3
12,4743_9783,3
12,4743_9785,3
12,4744_9722,3
12,4744_9790,3
12,4745_9714,3
12,4745_9715,3
12,4745_9748,3
12,4745_9770,3
12,4745_9785,3
12,4746_9713,3
12,4746_9780,3
12,4746_9786,3
12,4747_9715,3
12,4747_9718,3
12,4747_9722,3
12,4747_9728,3
12,4747_9759,3
12,4747_9769,3
12,4747_9780,3
12,4747_9781,3
12,4748_9716,3
12,4748_9729,3
12,4749_9730,3
12,4749_9731,3
12,4749_9761,3
12,4749_9768,3
12,4750_9715,3
12,4750_9726,3
12,4750_9747,3
12,4750_9762,3
12,4750_9778,3
12,4751_9710,3
12,4751_9756,3
12,4751_9763,3
12,4752_9714,3
12,4752_9725,3
12,4752_9751,3
12,4752_9755,3
12,4753_9709,3
12,4753_9712,3
12,4753_9713,3
12,4753_9726,3
12,4753_9751,3
12,4753_9756,3
12,4753_9757,3
12,4754_9710,3
12,4754_9713,3
12,4754_9729,3
12,4754_9749,3
12,4754_9751,3
12,4755_9749,3
12,4755_9760,3
12,4755_9774,3
12,4756_9742,3
12,4757_9722,3
12,4758_9730,3
12,4759_9714,3
12,4760_9746,3
12,4761_9708,3
12,4761_9719,3
12,4761_9727,3
12,4762_9708,3
12,4763_9706,3
12,4764_9706,3
12,4764_9707,3
12,4765_9719,3
12,4776_9716,3
12,4788_9730,3
12,4790_9731,3
12,4791_9733,3
12,4792_9729,3
12,4793_9715,3
12,4793_9717,3
12,4793_9724,3
12,4794_9708,3
12,4795_9701,3
12,4795_9711,3
12,4798_9708,3
12,4798_9712,3
12,4798_9713,3
12,4798_9739,3
12,4799_9717,3
12,4799_9724,3
12,4799_9736,3
12,4799_9815,3
12,4799_9817,3
12,4800_9820,3
12,4801_9729,3
12,4802_9727,3
12,4803_9725,3
12,4803_9823,3
12,4804_9724,3
12,4805_9805,3
12,4805_9807,3
12,4806_9727,3
12,4806_9733,3
12,4807_9807,3
12,4808_9728,3
12,4809_9813,3
12,4810_9812,3
12,4812_9800,3
12,4815_9804,3
12,4816_9727,3
12,4819_9724,3
12,4826_9729,3
12,4827_9729,3
12,4831_9721,3
12,4832_9728,3
12,4832_9738,3
12,4833_9713,3
12,4833_9714,3
12,4836_9735,3
12,4837_9727,3
12,4841_9708,3
12,4841_9710,3
12,4841_9715,3
12,4843_9716,3
12,4846_9720,3
12,4847_9721,3
12,4853_9757,3
12,4855_9759,3
12,4856_9750,3
12,4692_9763,2
12,4693_9762,2
12,4696_9761,2
12,4696_9767,2
12,4700_9763,2
12,4701_9750,2
12,4702_9745,2
12,4704_9730,2
12,4704_9742,2
12,4705_9717,2
12,4705_9758,2
12,4706_9743,2
12,4707_9757,2
12,4707_9761,2
12,4708_9741,2
12,4708_9748,2
12,4708_9756,2
12,4708_9763,2
12,4709_9750,2
12,4709_9760,2
12,4710_9739,2
12,4710_9742,2
12,4710_9747,2
12,4710_9749,2
12,4710_9751,2
12,4710_9756,2
12,4710_9762,2
12,4710_9763,2
12,4711_9744,2
12,4711_9750,2
12,4711_9760,2
12,4712_9750,2
12,4712_9755,2
12,4713_9744,2
12,4713_9745,2
12,4713_9755,2
12,4714_9753,2
12,4715_9744,2
12,4715_9754,2
12,4718_9741,2
12,4718_9744,2
12,4719_9755,2
12,4720_9742,2
12,4720_9745,2
12,4720_9753,2
12,4720_9755,2
12,4721_9732,2
12,4721_9734,2
12,4721_9736,2
12,4723_9731,2
12,4723_9740,2
12,4723_9741,2
12,4723_9745,2
12,4724_9724,2
12,4724_9727,2
12,4725_9726,2
12,4726_9718,2
12,4726_9730,2
12,4727_9719,2
12,4727_9733,2
12,4727_9734,2
12,4727_9746,2
12,4728_9737,2
12,4728_9767,2
12,4728_9769,2
12,4729_9709,2
12,4729_9715,2
12,4729_9733,2
12,4729_9735,2
12,4730_9704,2
12,4730_9709,2
12,4730_9714,2
12,4730_9722,2
12,4730_9725,2
12,4730_9732,2
12,4730_9736,2
12,4731_9704,2
12,4731_9708,2
12,4731_9743,2
12,4732_9706,2
12,4732_9723,2
12,4732_9728,2
12,4732_9730,2
12,4732_9766,2
12,4733_9703,2
12,4733_9710,2
12,4733_9724,2
12,4733_9730,2
12,4734_9765,2
12,4735_9704,2
12,4735_9729,2
12,4735_9741,2
12,4736_9693,2
12,4736_9757,2
12,4736_9759,2
12,4737_9694,2
12,4737_9710,2
12,4737_9715,2
12,4737_9716,2
12,4737_9717,2
